iteration	alpha_actor	alpha_critic	gamma	negReward	fit	ratio
329	0.01	0.01	0.101447	0.0975971	-56.4145	0.991773
330	0.01	0.01	0.113809	0.112229	-58.8379	1.04296
331	0.01	0.01	0.125183	0.120058	-57.4249	0.975985
332	0.01	0.01	0.140684	0.098805	-57.4037	0.999632
333	0.01	0.01	0.142933	0.0865658	-56.9005	0.991234
334	0.01	0.01	0.140356	0.0885872	-55.5474	0.976218
335	0.01	0.01	0.145477	0.0691954	-54.2932	0.977421
336	0.01	0.01	0.158869	0.0677395	-53.7057	0.989179
337	0.01	0.01	0.183571	0.0702902	-56.36	1.04942
338	0.01	0.01	0.189782	0.0656997	-54.1717	0.961173
339	0.01	0.01	0.203488	0.0466099	-53.3282	0.98443
340	0.01	0.01	0.207953	0.049542	-52.7031	0.988278
341	0.01	0.01	0.215943	0.0537104	-53.2754	1.01086
342	0.01	0.01	0.233664	0.0418816	-53.9982	1.01357
343	0.01	0.01	0.221985	0.0461612	-53.7924	0.99619
344	0.01	0.01	0.214877	0.035656	-52.0388	0.9674
345	0.01	0.01	0.216375	0.0270859	-51.5239	0.990105
346	0.01	0.01	0.216113	0.0282647	-52.1556	1.01226
347	0.01	0.01	0.23244	0.0136317	-51.9089	0.99527
348	0.01	0.01	0.24107	0.0225417	-51.7018	0.996009
349	0.01	0.01	0.222265	0.0271764	-51.5656	0.997365
350	0.01	0.01	0.223828	0.0240575	-52.4697	1.01753
351	0.01	0.01	0.22765	0.0364559	-51.6593	0.984554
352	0.01	0.01	0.217486	0.0439436	-53.1475	1.02881
353	0.01	0.01	0.21893	0.0539684	-53.4498	1.00569
354	0.01	0.01	0.20785	0.0402209	-52.697	0.985915
355	0.01	0.01	0.204226	0.0344492	-52.106	0.988786
356	0.01	0.01	0.204226	0.0344492	-52.106	0.994409
357	0.01	0.01	0.200679	0.0492075	-53.9921	1.0362
358	0.01	0.01	0.214248	0.0535357	-54.6724	1.0126
359	0.01	0.01	0.216306	0.0333843	-52.8448	0.96657
360	0.01	0.01	0.222546	0.0412832	-52.8675	1.00043
361	0.01	0.01	0.229499	0.0296411	-52.8192	0.999087
362	0.01	0.01	0.21483	0.0254865	-53.0404	1.00419
363	0.01	0.01	0.210684	0.0203848	-50.3856	0.949949
364	0.01	0.01	0.222282	0.0251425	-50.7549	1.00733
365	0.01	0.01	0.230977	0.0474667	-54.6308	1.07636
366	0.01	0.01	0.241194	0.0363388	-53.1741	0.973336
367	0.01	0.01	0.258275	0.0325703	-51.858	0.975248
368	0.01	0.01	0.255359	0.0348571	-52.137	1.00538
369	0.01	0.01	0.252349	0.00788234	-50.197	0.962791
370	0.01	0.01	0.248202	0.0018509	-51.5805	1.02756
371	0.01	0.01	0.231648	0.0107909	-51.2325	0.993253
372	0.01	0.01	0.239446	0.00479022	-50.363	0.98303
373	0.01	0.01	0.241243	0.00139353	-51.3503	1.0196
374	0.01	0.01	0.243023	0.0102953	-49.7611	0.969051
375	0.01	0.01	0.249115	0.0151182	-51.3385	1.0317
376	0.01	0.01	0.235096	0.0162061	-50.9905	0.993222
377	0.01	0.01	0.242322	0.012702	-51.4804	1.00961
378	0.01	0.01	0.241337	0	-49.7523	0.966431
379	0.01	0.01	0.240913	0	-50.027	1.00552
380	0.01	0.01	0.237103	0	-50.8303	1.01606
381	0.01	0.01	0.241796	0	-49.887	0.981442
382	0.01	0.01	0.256736	0	-49.3563	0.989362
383	0.01	0.01	0.250252	0.0070733	-51.6714	1.0469
384	0.01	0.01	0.256093	0.00588295	-51.5909	0.998442
385	0.01	0.01	0.25007	0.00416262	-51.1597	0.991643
386	0.01	0.01	0.257466	0.00713777	-50.0068	0.977463
387	0.01	0.01	0.246695	0.012282	-52.1564	1.04299
388	0.01	0.01	0.252753	0.0174332	-51.582	0.988986
389	0.01	0.01	0.258015	0.0360428	-53.005	1.02759
390	0.01	0.01	0.275965	0.0300092	-51.7844	0.976973
391	0.01	0.01	0.296295	0.0249634	-52.2813	1.0096
392	0.01	0.01	0.302231	0.0173026	-51.1773	0.978884
393	0.01	0.01	0.307202	0.0201996	-51.0633	0.997772
394	0.01	0.01	0.303906	0.0104038	-51.2487	1.00363
395	0.01	0.01	0.300856	0.00647631	-51.8699	1.01212
396	0.01	0.01	0.301814	0.0102586	-50.5181	0.973939
397	0.01	0.01	0.295976	0.0287228	-52.3494	1.03625
398	0.01	0.01	0.292309	0.0125967	-52.1094	0.995415
399	0.01	0.01	0.285808	0.0139242	-52.5419	1.0083
400	0.01	0.01	0.273664	0.0147529	-50.6721	0.964413
401	0.01	0.01	0.281033	0.0112772	-50.2015	0.990712
402	0.01	0.01	0.284751	0.0146295	-51.9676	1.03518
403	0.01	0.01	0.274241	0.0204921	-51.7257	0.995346
404	0.01	0.01	0.268871	0.0166745	-51.3702	0.993126
405	0.01	0.01	0.266797	0.0152582	-51.4818	1.00217
406	0.01	0.01	0.279254	0.00336976	-50.5001	0.980931
407	0.01	0.01	0.284318	0.00223182	-51.7826	1.02539
408	0.01	0.01	0.260107	0	-49.9712	0.96502
409	0.01	0.01	0.257617	0.0032369	-49.788	0.996334
410	0.01	0.01	0.258805	0.0127863	-51.1655	1.02767
411	0.01	0.01	0.27457	0.00623621	-51.3804	1.0042
412	0.01	0.01	0.283367	0.0173791	-52.3391	1.01866
413	0.01	0.01	0.283732	0.027923	-51.1991	0.978221
414	0.01	0.01	0.270489	0.0149079	-50.2689	0.981831
415	0.01	0.01	0.269515	0.00423766	-51.506	1.02461
416	0.01	0.01	0.257971	0	-49.6501	0.963967
417	0.01	0.01	0.249639	0	-49.4858	0.996692
418	0.01	0.01	0.245867	0	-51.154	1.03371
419	0.01	0.01	0.242743	0	-51.2975	1.00281
420	0.01	0.01	0.242151	0.00111498	-50.3908	0.982324
421	0.01	0.01	0.235841	0	-50.4492	1.00116
422	0.01	0.01	0.231947	0	-49.8824	0.988765
423	0.01	0.01	0.250329	0.00125208	-49.9423	1.0012
424	0.01	0.01	0.250329	0.00125208	-49.9423	0.981657
425	0.01	0.01	0.237159	0.0173632	-51.4772	1.03073
426	0.01	0.01	0.230713	0.0148949	-50.9684	0.990115
427	0.01	0.01	0.223414	0.0201498	-51.4545	1.00954
428	0.01	0.01	0.221563	0.0184714	-51.8754	1.00818
429	0.01	0.01	0.210347	0.0304799	-52.0718	1.00379
430	0.01	0.01	0.193853	0.0388361	-53.3621	1.02478
431	0.01	0.01	0.194309	0.0338725	-53.4257	1.00119
432	0.01	0.01	0.219299	0.0457171	-53.3681	0.998921
433	0.01	0.01	0.233099	0.0349175	-53.0689	0.994395
